,sku,description,url,price,UPC,keyword
342,999mffbagkr,"Carnival King 4 1/2"" x 4 1/2"" Medium Kraft French Fry Bag - 500/Pack",https://www.webstaurantstore.com/carnival-king-4-1-2-x-4-1-2-medium-kraft-french-fry-bag-pack/999MFFBAGKR.html,$11.99/Pack,,disposable-food-packaging-supplies
343,9993003532,"Choice 9"" x 10"" Black Check Wire Cone Basket Liner / Deli Wrap / Double Open Bag - 250/Pack",https://www.webstaurantstore.com/choice-9-x-10-black-check-wire-cone-basket-liner-deli-wrap-double-open-bag-pack/9993003532.html,$13.99/Pack,10608254035327,disposable-food-packaging-supplies
344,999sffbag,"Carnival King 3 1/2"" x 4 1/2"" Small French Fry Bag - 500/Pack",https://www.webstaurantstore.com/carnival-king-3-1-2-x-4-1-2-small-french-fry-bag/999SFFBAG.html,$6.39/Pack,,disposable-food-packaging-supplies
345,130zt08082,"Choice 8"" x 8"" 2 Mil Clear Polyethylene Zip Top Bag - 1000/Case",https://www.webstaurantstore.com/bag-ziptop-8x8-2mil-1m-ch-case/130ZT08082.html,From $30.56/Case,,disposable-food-packaging-supplies
346,433g8,"Durable Packaging SW-8 8"" x 10 3/4"" Interfolded Deli Wrap Wax Paper",https://www.webstaurantstore.com/durable-packaging-10-3-4-x-8-interfolded-deli-wrap-wax-paper/433G8.html,From $4.39/Box,better,disposable-food-packaging-supplies
347,245cpb10    print,"Choice 10"" x 10"" x 2"" Kraft Corrugated Pizza Box - 50/Case",https://www.webstaurantstore.com/10-x-10-x-1-3-4-kraft-corrugated-pizza-box-case/245CPB10%20%20%20%20PRINT.html,$11.99/Case,675687141010,disposable-food-packaging-supplies
348,433010001nat,"Bagcraft Packaging 010001 6"" x 10 3/4"" EcoCraft Bakery Tissue",https://www.webstaurantstore.com/bagcraft-papercon-010001-10-3-4-x-6-ecocraft-bakery-tissue/433010001NAT.html,From $7.99/Box,787074007172,disposable-food-packaging-supplies
349,433b161118,"Duro Grande Natural Kraft Paper Shopping Bag with Handles 16"" x 11"" x 18 1/4"" - 200/Bundle",https://www.webstaurantstore.com/duro-grande-natural-kraft-paper-shopping-bag-with-handles-16-x-11-x-18-1-4-bundle/433B161118.html,From $139.04/Bundle,079594879415,disposable-food-packaging-supplies
350,433r7950,White Wet Wax Sandwich Bag - 1000/Box,https://www.webstaurantstore.com/white-wet-wax-sandwich-bag-box/433R7950.html,From $21.59/Box,027901795002,disposable-food-packaging-supplies
351,130zt05082,"Choice 5"" x 8"" 2 Mil Clear Polyethylene Zip Top Bag - 1000/Case",https://www.webstaurantstore.com/bag-ziptop-5x8-2mil-1m-ch-case/130ZT05082.html,From $19.33/Case,,disposable-food-packaging-supplies
352,2458pizcir,"8"" White Corrugated Pizza Circle - 500/Bundle",https://www.webstaurantstore.com/8-white-corrugated-pizza-circle-bundle/2458PIZCIR.html,From $40.77/Bundle,,disposable-food-packaging-supplies
353,130080418h,"Inteplast Group PB080418H 8"" x 4"" x 18"" Heavy Duty Plastic Food Bag - 1000/Case",https://www.webstaurantstore.com/inteplast-group-pb080418h-8-x-4-x-18-heavy-duty-plastic-food-bag-case/130080418H.html,From $27.90/Case,762935995232,disposable-food-packaging-supplies
354,4331lbcbwkr,1 lb. Brown Kraft Customizable Tin Tie Cookie / Coffee / Donut Bag with Window - 1000/Case,https://www.webstaurantstore.com/1-lb-brown-kraft-customizable-tin-tie-coffee-bag-with-window-case/4331LBCBWKR.html,From $118.41/Case,696241211215,disposable-food-packaging-supplies
355,150300116,"Bagcraft Packaging 300116 6 1/2"" x 2"" x 8 1/2"" Ecocraft Kraft Grease Resistant Single Serve Window Bagel / Sandwich / Bakery Bag - 500/Case",https://www.webstaurantstore.com/bagcraft-papercon-300116-6-1-2-x-2-x-8-1-2-ecocraft-kraft-grease-resistant-single-serve-window-bagel-sandwich-bakery-bag-case/150300116.html,$40.99/Case,10072181001166,disposable-food-packaging-supplies
356,795bx953twh,"9"" x 5"" x 3"" White Take Out Lunch Box / Chicken Box - 250/Case",https://www.webstaurantstore.com/9-x-5-x-3-white-take-out-lunch-box-chicken-box-case/795BX953TWH.html,$59.49/Case,,disposable-food-packaging-supplies
357,795bx742fwh,"7"" x 4 1/2"" x 2 3/4"" White Take Out Lunch / Snack / Chicken Box - 500/Case",https://www.webstaurantstore.com/7-x-4-1-2-x-2-3-4-white-take-out-lunch-snack-chicken-box-case/795BX742FWH.html,$112.49/Case,,disposable-food-packaging-supplies
358,130zt02032hh,"Choice 2"" x 3"" 2 Mil Clear Polyethylene Zip Top Bag with Hanging Hole - 1000/Case",https://www.webstaurantstore.com/bag-ziptop-hh-2x3-2mil-1m-case/130ZT02032HH.html,From $5.42/Case,,disposable-food-packaging-supplies
359,130zt02032wb,"Choice 2"" x 3"" 2 Mil Clear Polyethylene Zip Top Bag with White Block - 1000/Case",https://www.webstaurantstore.com/bag-ziptop-write-block-2x-case/130ZT02032WB.html,From $5.38/Case,,disposable-food-packaging-supplies
360,130zt12122,"Choice 12"" x 12"" 2 Mil Clear Polyethylene Zip Top Bag - 1000/Case",https://www.webstaurantstore.com/bag-ziptop-12x12-2mil-1m-case/130ZT12122.html,From $64.18/Case,,disposable-food-packaging-supplies
361,24518pizcir,"18"" White Corrugated Pizza Circle - 125/Case",https://www.webstaurantstore.com/18-white-corrugated-pizza-circle-case/24518PIZCIR.html,From $50.62/Case,,disposable-food-packaging-supplies
362,130zt03042,"Choice 3"" x 4"" 2 Mil Clear Polyethylene Zip Top Bag - 1000/Case",https://www.webstaurantstore.com/bag-ziptop-3x4-2mil-1m-ch-case/130ZT03042.html,From $7.10/Case,,disposable-food-packaging-supplies
363,433g15,"Durable Packaging SW-15 15"" x 10 3/4"" Interfolded Deli Wrap Wax Paper",https://www.webstaurantstore.com/durable-packaging-15-x-10-3-4-interfolded-deli-wrap-wax-paper/433G15.html,From $6.89/Box,better,disposable-food-packaging-supplies
364,333ffd18,"Edlund FFD-18 12"" and 18"" Adjustable Stainless Steel Film and Foil Dispenser / Cutter",https://www.webstaurantstore.com/edlund-ffd-18-stainless-steel-film-and-foil-dispenser-cutter-for-12-and-18-rolls/333FFD18.html,$178.99/Each,00663128795007,disposable-food-packaging-supplies
365,130pb1220,"Inteplast Group PHNONP20NS 12"" x 20"" Plastic Side Print Produce Bag on a Roll - 4/Case",https://www.webstaurantstore.com/inteplast-group-phnonp20ns-12-x-20-plastic-side-print-produce-bag-on-a-roll-case/130PB1220.html,From $38.87/Case,00762935016562,disposable-food-packaging-supplies
366,43318fl,18'' x 1000' 35# White Freezer Paper Roll,https://www.webstaurantstore.com/18-x-1000-40-lb-white-freezer-paper-roll/43318FL.html,From $25.52/Each,good,disposable-food-packaging-supplies
367,433b16612,"Duro Tote Natural Kraft Paper Shopping Bag with Handles 16"" x 6"" x 12"" - 250/Bundle",https://www.webstaurantstore.com/duro-tote-natural-kraft-paper-shopping-bag-with-handles-16-x-6-x-12-bundle/433B16612.html,From $89.04/Bundle,079594867795,disposable-food-packaging-supplies
368,150300114,"Bagcraft Packaging 300114 5"" x 1 1/2"" x 7"" EcoCraft Kraft Grease Resistant Single Serve Window Cookie Bag - 500/Case",https://www.webstaurantstore.com/bagcraft-papercon-300114-5-x-1-1-2-x-7-ecocraft-kraft-grease-resistant-single-serve-window-cookie-bag-case/150300114.html,$39.49/Case,10072181001142,disposable-food-packaging-supplies
369,433w141016,"Duro Super Royal White Paper Shopping Bag with Handles 14"" x 10"" x 15 3/4"" - 200/Bundle",https://www.webstaurantstore.com/duro-super-royal-white-paper-shopping-bag-with-handles-14-x-10-x-15-3-4-bundle/433W141016.html,From $129.90/Bundle,079594859349,disposable-food-packaging-supplies
370,130zt08102,"Choice 8"" x 10"" 2 Mil Clear Polyethylene Zip Top Bag - 1000/Case",https://www.webstaurantstore.com/bag-ziptop-8x10-2mil-1m-c-case/130ZT08102.html,From $37.49/Case,,disposable-food-packaging-supplies
371,13035       100,"LK Packaging P12F0355 3"" x 5 1/2"" Candy Bag - 100/Pack",https://www.webstaurantstore.com/elkay-plastics-p12f0355-3-x-5-1-2-candy-bag-pack/13035%20%20%20%20%20%20%20100.html,From $0.89/Pack,654866016790,disposable-food-packaging-supplies
372,13010824h,"LK Packaging 10G-108024 10"" x 8"" x 24"" Heavy Duty Plastic Food Bag - 500/Case",https://www.webstaurantstore.com/elkay-plastics-10g-108024-10-x-8-x-24-heavy-duty-plastic-food-bag-case/13010824H.html,From $30.96/Case,762935010102,disposable-food-packaging-supplies
373,433w13713,"Duro Jr. Mart White Paper Shopping Bag with Handles 13"" x 7"" x 13"" - 250/Bundle",https://www.webstaurantstore.com/duro-jr-mart-white-paper-shopping-bag-with-handles-13-x-7-x-13-bundle/433W13713.html,From $108.88/Bundle,079594872812,disposable-food-packaging-supplies
374,77065055,"Solut 65055 18"" Coated Corrugated Black Catering / Deli Tray - 50/Case",https://www.webstaurantstore.com/solut-65055-18-coated-corrugated-black-catering-deli-tray-case/77065055.html,From $73.25/Case,10856322001198,disposable-food-packaging-supplies
375,433gc12,"Durable Packaging 12"" x 10 3/4"" Green Choice Interfolded Kraft Unbleached Brown Soy Wax Deli Sheets",https://www.webstaurantstore.com/durable-packaging-12-x-10-3-4-green-choice-interfolded-kraft-unbleached-brown-soy-wax-deli-sheets/433GC12.html,From $8.59/Box,074729800128,disposable-food-packaging-supplies
376,77068260cp,"Solut 68260-CP 13"" Bake and Show Kraft Oven Safe Takeout Cookie / Pizza Tray with Lid - 30/Case",https://www.webstaurantstore.com/solut-68260-cp-take-and-bake-13-kraft-eco-natural-pizza-tray-with-lid-case/77068260CP.html,From $31.46/Case,00815176011626,disposable-food-packaging-supplies
377,130zt06064,"Choice 6"" x 6"" 4 Mil Clear Polyethylene Zip Top Bag - 1000/Case",https://www.webstaurantstore.com/bag-ziptop-6x6-4mil-1m-ch-case/130ZT06064.html,From $33.61/Case,,disposable-food-packaging-supplies
378,375pgt1212br,"GET P-GT-1212-BR 12"" x 12"" Brown Typography Deli Sandwich Wrap Paper - 1000/Case",https://www.webstaurantstore.com/get-p-gt-1212-br-12-x-12-brown-typography-deli-sandwich-wrap-paper-case/375PGT1212BR.html,From $63.73/Case,015845394603,disposable-food-packaging-supplies
379,1300506lpt,"Choice 4 3/4"" x 6 1/2"" 1.6 Mil Polypropylene Lip and Tape Resealable Bag - 1000/Case",https://www.webstaurantstore.com/choice-4-3-4-x-6-1-2-plastic-lip-and-tape-resealable-bag-case/1300506LPT.html,From $13.01/Case,,disposable-food-packaging-supplies
